item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1008,1,1,4283.51,26
2,591,376,4,10320.99,23
3,276,102,4,11000.86,7
4,436,96,2,3633.03,11
5,393,133,4,26499.75,39
6,341,41,3,5233.85,7
7,701,16,5,14163.33,31
8,207,5,1,16038.24,0
10,1066,493,3,55934.49,30
12,491,482,3,39938.19,24
13,730,448,3,48395.59,0
14,823,372,2,1638.26,7
15,573,487,2,22168.95,39
16,974,264,4,39647.68,0
17,660,9,3,52418.73,20
18,479,311,4,24069.89,39
19,714,220,4,59213.6,6
20,602,311,2,42745.32,33
22,1124,448,4,10166.37,28
23,988,340,5,14530.01,13
26,976,488,1,39962.03,34
27,1008,47,3,52329.24,36
28,133,330,3,22682.92,24
29,1151,495,4,48526.0,14
30,596,45,1,5439.45,37
31,238,294,3,7732.31,20
32,1182,378,1,18716.85,37
33,795,217,3,46299.73,8
34,455,55,4,650.39,29
35,608,429,2,30039.98,29
36,581,75,1,35972.93,19
37,253,141,5,28749.14,13
38,772,31,3,9246.86,13
39,461,359,1,55397.16,11
40,803,154,2,59464.69,35
41,866,348,4,59419.83,25
42,1082,373,3,17013.61,12
43,1123,202,1,7940.95,37
44,111,436,3,27506.2,10
45,905,357,4,17535.79,9
46,401,377,1,21797.32,36
47,303,193,4,40798.77,10
48,197,183,4,10860.01,3
49,1056,333,3,35644.2,9
50,828,126,1,7216.27,25
51,354,335,4,46573.4,5
52,783,141,4,22102.65,7
53,250,251,5,13573.61,37
54,1173,246,3,41654.18,6
55,371,197,4,59997.26,27
56,257,51,3,3903.55,34
57,41,202,5,49066.02,33
58,1063,429,5,32385.01,7
59,425,495,1,10921.78,38
60,11,285,4,48050.73,7
61,1178,106,2,5360.47,16
62,72,44,1,30418.28,23
63,352,217,1,14975.39,2
64,1064,464,3,39583.54,28
65,1005,356,3,31407.71,22
66,1046,108,1,39790.76,2
69,865,39,5,15372.55,24
70,335,205,4,5086.92,16
71,294,275,2,4326.43,17
72,395,366,3,33862.17,32
73,860,421,2,19049.98,27
74,507,40,3,7564.81,7
75,834,34,3,38446.63,23
76,560,75,2,16491.44,6
77,456,194,1,46985.74,7
78,628,302,4,5822.88,22
79,578,283,3,36487.27,3
80,798,93,3,48384.49,34
81,825,245,5,7741.57,0
82,319,337,2,8645.94,36
83,109,471,3,42479.39,15
84,857,362,4,11067.96,22
86,469,157,1,56852.53,26
87,185,325,1,4693.92,15
88,339,295,1,5166.65,18
89,1010,414,1,57733.76,27
90,280,246,4,30949.19,34
91,831,8,5,11492.02,0
92,1095,384,3,14729.15,33
93,87,311,4,57882.38,33
94,359,39,3,50380.6,32
97,990,151,3,12862.65,40
98,446,473,3,55753.63,32
99,73,479,4,53560.39,31
100,13,316,4,19780.25,22
101,717,456,2,24183.88,0
102,1008,102,1,31792.88,9
103,999,4,2,46189.91,16
104,810,192,3,21933.29,11
105,552,56,4,39411.15,28
106,725,383,4,448.03,12
107,584,21,2,23733.31,21
108,329,342,2,56907.71,17
109,1002,282,4,48009.22,8
110,819,257,4,7971.92,6
111,259,80,3,30050.06,15
112,701,220,5,44272.15,27
113,578,249,1,45677.9,15
114,1048,96,2,16940.22,7
115,507,342,4,11984.91,6
