
E-COMMERCE ANALYTICS REPORT
Report: RETENTION

+--------------+--------------+--------------------+-----------------+------------------------+
| cohort_month | month_number | retained_customers | total_customers | retention_rate_percent |
+--------------+--------------+--------------------+-----------------+------------------------+
| 2024-07      | 0            | 26                 | 26              | 100.0                  |
| 2024-07      | 1            | 2                  | 26              | 7.69                   |
| 2024-07      | 2            | 2                  | 26              | 7.69                   |
| 2024-07      | 3            | 3                  | 26              | 11.54                  |
| 2024-07      | 4            | 1                  | 26              | 3.85                   |
| 2024-07      | 5            | 1                  | 26              | 3.85                   |
| 2024-07      | 6            | 2                  | 26              | 7.69                   |
| 2024-07      | 7            | 1                  | 26              | 3.85                   |
| 2024-07      | 8            | 1                  | 26              | 3.85                   |
| 2024-07      | 9            | 3                  | 26              | 11.54                  |
| 2024-07      | 10           | 2                  | 26              | 7.69                   |
| 2024-07      | 11           | 4                  | 26              | 15.38                  |
| 2024-07      | 12           | 1                  | 26              | 3.85                   |
| 2024-07      | 13           | 2                  | 26              | 7.69                   |
| 2024-07      | 14           | 1                  | 26              | 3.85                   |
| 2024-07      | 15           | 2                  | 26              | 7.69                   |
| 2024-07      | 16           | 1                  | 26              | 3.85                   |
| 2024-07      | 17           | 2                  | 26              | 7.69                   |
| 2024-07      | 18           | 2                  | 26              | 7.69                   |
| 2024-07      | 19           | 1                  | 26              | 3.85                   |
| 2024-07      | 21           | 3                  | 26              | 11.54                  |
| 2024-07      | 23           | 2                  | 26              | 7.69                   |
| 2024-07      | 24           | 1                  | 26              | 3.85                   |
| 2024-08      | 0            | 55                 | 55              | 100.0                  |
| 2024-08      | 1            | 1                  | 55              | 1.82                   |
| 2024-08      | 2            | 3                  | 55              | 5.45                   |
| 2024-08      | 4            | 6                  | 55              | 10.91                  |
| 2024-08      | 5            | 4                  | 55              | 7.27                   |
| 2024-08      | 6            | 3                  | 55              | 5.45                   |
| 2024-08      | 7            | 5                  | 55              | 9.09                   |
+--------------+--------------+--------------------+-----------------+------------------------+
